id,type,address,number,postal_code,municipality,province,location,public,available,hours,lat,lon
13034.0,Appareil fixe-Vast apparaat,Dieleghemsesteenweg,,1090.0,JETTE,Bruxelles-Brussel,In de inkomhal,Oui-Ja,,,50.8829753,4.3210622
13033.0,Appareil fixe-Vast apparaat,Frans Vervaeckstraat,47.0,1083.0,GANSHOREN,Bruxelles-Brussel,Doorgang tussen peuter- en babyafdeling.,Oui-Ja,,,50.872838849999994,4.31811467332786
16278.0,Appareil fixe-Vast apparaat,Sterrebeekstraat,172.0,1930.0,ZAVENTEM,Bruxelles-Brussel,"Gebouw Asco 7, naast de trap naar de refter.",Oui-Ja,,,50.8711678,4.4868547
13027.0,Appareil fixe-Vast apparaat,Rue de la tete d’or,26.0,7500.0,DOORNIK,Hainaut,inkom,Oui-Ja,,,50.60511525,3.3902435056567475
16279.0,Appareil fixe-Vast apparaat,boombekelaan,12.0,2660.0,HOBOKEN,Antwerpen,Inkom werkplaats,Oui-Ja,,,51.1804848,4.340760530270439
13028.0,Appareil fixe-Vast apparaat,evangeliestraat,195.0,9220.0,HAMME,Oost-Vlaanderen,EHBO lokaal,Oui-Ja,,,51.091915,4.1203972
13029.0,Appareil fixe-Vast apparaat,frankrijklei,109.0,2000.0,ANTWERPEN,Antwerpen,inkom winkel,Oui-Ja,,,51.2126045,4.4104573
13030.0,Appareil fixe-Vast apparaat,leopoldstraat,21.0,2000.0,ANTWERPEN,Antwerpen,inkom winkel,Oui-Ja,,,51.2149693,4.407115480078125
16278.0,Appareil fixe-Vast apparaat,Rue de Niederpallen,1.0,8506.0,Redange,Luxembourg, ,Oui-Ja,Non-Nee,,,
16279.0,Appareil fixe-Vast apparaat,Haneboesch,2.0,4563.0,Differdange,Luxembourg, ,Oui-Ja,Non-Nee,,,
16280.0,Appareil fixe-Vast apparaat,Rue de l innovation ,10.0,5020.0,Sualee,Namur, ,Oui-Ja,Non-Nee,,50.485819,4.808194
16281.0,Appareil fixe-Vast apparaat,Oever,3.0,9850.0,Deinze-Merendree,Oost-Vlaanderen,buiten aan de technische ruimte ter hoogte van tennisterrein 2,Non-Nee,Oui-Ja,,51.0741536,3.568096029386889
16282.0,Appareil fixe-Vast apparaat,Schaliehoevestraat,12.0,2220.0,Heist-op-den-Berg,Vlaams-Brabant,Buitenkant lokaal leaders in Automated Packing,Non-Nee,Oui-Ja,,51.0564627,4.69937549876453
16283.0,Appareil fixe-Vast apparaat,Markstraat ,17.0,1541.0,Sint-Pieters-Kapelle,Vlaams-Brabant,Binnenplaats van een gemeentelijke feestzaal,Oui-Ja,Oui-Ja,,50.7063637,3.9915718655351182
16284.0,Appareil fixe-Vast apparaat,Sint-Niklaasstraat,24.0,1540.0,Herfelingen,Vlaams-Brabant,Aan de muur aan een kunstwerk van een konijn,Oui-Ja,Oui-Ja,,50.7476771,4.096019018441909
16285.0,Appareil fixe-Vast apparaat,Heilige Geeststraat,,1540.0,Herne,Vlaams-Brabant,Aan de voordeur van het gebouw,Oui-Ja,Oui-Ja,,50.6999226,4.0360177
16286.0,Appareil fixe-Vast apparaat,Hernekouter,1.0,1540.0,Herne,Vlaams-Brabant,Ingang sporthal,Oui-Ja,Oui-Ja,,50.72616995,4.01751958806568
16287.0,Appareil fixe-Vast apparaat,Pater Damiaanstraat ,10.0,2460.0,Kasterlee,Antwerpen,Buitengevel technisch lokaal ,Oui-Ja,Oui-Ja,,51.23439455,4.962916278745389
16288.0,Appareil fixe-Vast apparaat,Schaarstraat,9.0,2460.0,Kasterlee,Antwerpen,Buitengevel aan keuken,Oui-Ja,Oui-Ja,,51.2433887,4.898503319417044
16289.0,Appareil fixe-Vast apparaat,Melkerijstraat,61.0,2900.0,SCHOTEN,Antwerpen,Buitenkast inkom poort 6,Oui-Ja,,,51.2377059,4.4773133
13031.0,Appareil fixe-Vast apparaat,kloosterstraat,18.0,9750.0,ZINGEM,Oost-Vlaanderen,Inkom sporthal ,Oui-Ja,,,50.9007814,3.5896969
16290.0,Appareil fixe-Vast apparaat,Oostdijk,110.0,2830.0,WILLEBROEK,Antwerpen,Altijd op afspraak toestel staat op boot 0499/59 33 66 koen,Non-Nee,,,51.0506773,4.3638112
16291.0,Appareil fixe-Vast apparaat,Breestraat,,8710.0,WIELSBEKE,West-Vlaanderen,Inkom 2 verdieping ,Oui-Ja,,,50.9185378,3.3551686
16292.0,Appareil fixe-Vast apparaat,Rue Valère Letot,16.0,7050.0,Jurbise,Hainaut,,Oui-Ja,Non-Nee,,50.51267465,3.853713626177802
16293.0,Appareil fixe-Vast apparaat,Gistelsteenweg,112.0,8490.0,JABBEKE,West-Vlaanderen,/,Oui-Ja,,,51.1865961,3.1443300504449754
16294.0,Appareil fixe-Vast apparaat,Bohemen,101.0,9260.0,WICHELEN,Oost-Vlaanderen,Inkom feestzaal,Oui-Ja,,,51.002284700000004,3.988739085494255
16295.0,Appareil fixe-Vast apparaat,Van Overbekelaan ,229.0,1083.0,GANSHOREN,Bruxelles-Brussel,Inkom nieuwbouw,Oui-Ja,,,50.8750346,4.307833476097363
16296.0,Appareil fixe-Vast apparaat,Pater E. Devroyestraat,29.0,1040.0,ETTERBEEK,Bruxelles-Brussel,Buitengevel van de serre,Oui-Ja,,,,
16297.0,Appareil fixe-Vast apparaat,Nekkersgatlaan,17.0,1180.0,UKKEL,Bruxelles-Brussel,Gebouw De Iris naast het secretariaat,Oui-Ja,,,50.791937000000004,4.327475634558835
16298.0,Appareil fixe-Vast apparaat,Louis vander swaelmenlaan,25.0,1170.0,WATERMAAL-BOSVOORDE,Bruxelles-Brussel,inkom kinderopvang buitenkast,Oui-Ja,,,50.804485850000006,4.417411201450866
16299.0,Appareil fixe-Vast apparaat,Floreallaan,14.0,1180.0,UKKEL,Bruxelles-Brussel,Inkom school,Oui-Ja,,,50.8084464,4.337893668741881
16300.0,Appareil fixe-Vast apparaat,Edmond Mesenlaan ,2.0,1040.0,ETTERBEEK,Bruxelles-Brussel,Inkom sporthal Gebouw S,Oui-Ja,,,,
