geometry,address
POINT (4.262891 50.508327),"Seneffe C.Richet, Rue Jules Bordet, 7180, Rue Jules Bordet, Seneffe, Hainaut, België / Belgique / Belgien"
POINT (4.262891 50.508327),"Seneffe C.Richet, Rue Jules Bordet, 7180, Rue Jules Bordet, Seneffe, Hainaut, België / Belgique / Belgien"
POINT (4.262891 50.508327),"Seneffe C.Richet, Rue Jules Bordet, 7180, Rue Jules Bordet, Seneffe, Hainaut, België / Belgique / Belgien"
POINT (4.3850225 50.0360851),"Rue Charlemagne, 6464, Baileux, Hainaut, België / Belgique / Belgien"
POINT (4.1006547 50.6915623),"177, Chaussée Maieur Habils, 1430, Chaussée Maieur Habils, Bierghes, Brabant wallon, België / Belgique / Belgien"
POINT (3.8508058 50.7099814),"Chemin de Mons à Gand, 7860, Lessines, Hainaut, België / Belgique / Belgien"
POINT (3.8463619715574575 50.7016402),"193, Chaussée Gabrielle Richet, 7860, Chaussée Gabrielle Richet, Lessines, Hainaut, België / Belgique / Belgien"
POINT (4.3071499 50.84367),"Boulevard Maurice Herbette - Maurice Herbettelaan, 1070, Anderlecht, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, België / Belgique / Belgien"
POINT (4.4223738943016375 50.81648865),"Centre Scolaire du Souverain, Promenade du Chemin de fer - Spoorwegwandeling, 1160, Promenade du Chemin de fer - Spoorwegwandeling, Auderghem - Oudergem, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, België / Belgique / Belgien"
POINT (4.305033945340606 50.8021112),"625, Boulevard de la Deuxième Armée Britannique - Britse Tweedelegerlaan, 1190, Boulevard de la Deuxième Armée Britannique - Britse Tweedelegerlaan, Forest - Vorst, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, België / Belgique / Belgien"
POINT (4.495092833333321 51.230243200000004),"Corneel Geerts, 18, Bijkhoevelaan, 2110, Bijkhoevelaan, Wijnegem, Antwerpen, België / Belgique / Belgien"
POINT (4.305033945340606 50.8021112),"625, Boulevard de la Deuxième Armée Britannique - Britse Tweedelegerlaan, 1190, Boulevard de la Deuxième Armée Britannique - Britse Tweedelegerlaan, Forest - Vorst, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, België / Belgique / Belgien"
POINT (3.6676767 51.0199405),"Sint-Denijs-Westrem, 9051, Gent, Oost-Vlaanderen, België / Belgique / Belgien"
POINT (5.5109892 50.983695),"144, Emiel Van Dorenlaan, 3600, Emiel Van Dorenlaan, Genk, Limburg, België / Belgique / Belgien"
POINT (4.3785343 50.0299444),"9, Rue de Gonrieux, 6464, Rue de Gonrieux, Baileux, Hainaut, België / Belgique / Belgien"
POINT (4.810384258271604 50.457552),"Presbytère Flawinne, 47, Rue Marcel Vandy, 5020, Rue Marcel Vandy, Flawinne, Namur, België / Belgique / Belgien"
POINT (4.810384258271604 50.457552),"Presbytère Flawinne, 47, Rue Marcel Vandy, 5020, Rue Marcel Vandy, Flawinne, Namur, België / Belgique / Belgien"
POINT (4.288085343126602 50.8102404),"1, Allée Hof ter Vleest - Hof ter Vleestdreef, 1070, Allée Hof ter Vleest - Hof ter Vleestdreef, Anderlecht, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, België / Belgique / Belgien"
POINT (4.288085343126602 50.8102404),"1, Allée Hof ter Vleest - Hof ter Vleestdreef, 1070, Allée Hof ter Vleest - Hof ter Vleestdreef, Anderlecht, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, België / Belgique / Belgien"
POINT (4.566456402181457 50.982975350000004),"6, Sportveldweg, 3190, Sportveldweg, Boortmeerbeek, Vlaams-Brabant, België / Belgique / Belgien"
POINT (5.722306 50.0054968),"Rue Gustave Delperdange, 6600, Bastogne, Luxembourg, België / Belgique / Belgien"
POINT (4.4317861 51.2000721),"Berchem Station, Uitbreidingstraat, 2600, Uitbreidingstraat, Antwerpen, Antwerpen, België / Belgique / Belgien"
POINT (4.870493896218496 50.643978950000005),"Police de Ramillies, 48, Avenue des Déportés, 1367, Avenue des Déportés, Ramillies, Brabant wallon, België / Belgique / Belgien"
POINT (4.870493896218496 50.643978950000005),"Police de Ramillies, 48, Avenue des Déportés, 1367, Avenue des Déportés, Ramillies, Brabant wallon, België / Belgique / Belgien"
POINT (4.3566377 50.5073345),"Rue Notre Dame des Grâces, 6230, Pont-à-Celles, Hainaut, België / Belgique / Belgien"
POINT (4.3688609 50.8484449),"54, Boulevard du Régent - Regentlaan, 1000, Boulevard du Régent - Regentlaan, Bruxelles - Brussel, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, België / Belgique / Belgien"
