id,type,address,number,postal_code,municipality,province,location,public,available,hours,lat,lon,full_address
12466.0,Appareil fixe-Vast apparaat,Eikeldreef,21.0,8740.0,Pittem,West-Vlaanderen,Ontmoetingsruimte,Oui-Ja,Oui-Ja,,51.0187091,3.627890308563047,"Eikeldreef 21 ,8740 ,Pittem"
12467.0,Appareil fixe-Vast apparaat,Eugène Ghijsstraat ,50.0,1600.0,Sint-Pieters Leeuw,Vlaams-Brabant,Gelijkvloers portierswoning (ingang),Oui-Ja,Non-Nee,6u30 tot 17u,50.802004,4.291981306360371,"Eugène Ghijsstraat  50 ,1600 ,Sint-Pieters Leeuw"
12468.0,Appareil fixe-Vast apparaat,J.CAASELAAN ,3.0,8430.0,MIDDELKERKE,West-Vlaanderen,INKOM HOTEL,Non-Nee,Oui-Ja,,,,"J.CAASELAAN  3 ,8430 ,MIDDELKERKE"
12469.0,Appareil fixe-Vast apparaat,Industrieweg-Noord,1155.0,3660.0,Oudsbergen,Limburg,Inkom productiehal,Oui-Ja,Oui-Ja,,51.0409533,5.5506416439382225,"Industrieweg-Noord 1155 ,3660 ,Oudsbergen"
12470.0,Appareil fixe-Vast apparaat,Grasmarkt ,25.0,1000.0,Brussel ,Bruxelles-Brussel,accueil ,Oui-Ja,Non-Nee,,50.8482024,4.3519643,"Grasmarkt  25 ,1000 ,Brussel "
12471.0,Appareil fixe-Vast apparaat,Ter Waarde,60.0,8900.0,Ieper,West-Vlaanderen,Traphal 1ste verdieping,,,,50.87058925,2.8893846797325384,"Ter Waarde 60 ,8900 ,Ieper"
12472.0,Appareil Mobile- Mobiel apparaat,Paul Spaakstraat,15.0,1000.0,Brussel,Bruxelles-Brussel,Rechtover de ingang van de cinema,,,,50.8280479,4.36483595609042,"Paul Spaakstraat 15 ,1000 ,Brussel"
12473.0,Appareil Mobile- Mobiel apparaat,Paul Spaakstraat,15.0,1000.0,Brussel,Bruxelles-Brussel,Gang tussen de keuken en Motley,,,,50.8280479,4.36483595609042,"Paul Spaakstraat 15 ,1000 ,Brussel"
12474.0,Appareil fixe-Vast apparaat,rue Hovémont,110.0,4910.0,Theux,Liège,Accueil - Maison de Repos Franchimontois,Oui-Ja,Non-Nee,,50.5315799,5.8151548,"rue Hovémont 110 ,4910 ,Theux"
12475.0,Appareil fixe-Vast apparaat,Avenue Bel Air,91.0,1180.0,Uccle,Bruxelles-Brussel,Rez,Oui-Ja,Oui-Ja,,50.8127872,4.361995985896359,"Avenue Bel Air 91 ,1180 ,Uccle"
